Quote,Author,Book,Year,Category,Page,Source_Book_ID,Quote_Length,Import_Status,AI_Confidence,Notes
Le regain des religions alternatives en Occident et d’autres phénomènes sont directement imputables à la nature anti- humaine du capitalisme.,,Aspects de l'anarchisme,,Unknown,,Aspects de l'anarchisme,141,,62.75,
"La prise d’usines, de banques et d’autres propriétés est de nature violente puisqu’elle les enlève de force à leurs propriétaires.",,Aspects de l'anarchisme,,Unknown,,Aspects de l'anarchisme,130,,62.5,
"The lights often follow cars, or are reported by observers to behave as though they were being guided or were intelligent.",,Aspects of Evocation,,Unknown,,Aspects of Evocation,126,,67.5,
"The shapes which the spirits assumed were rarely exactly that described within the lesser Key (hereafter LK), but generally similar.",,Aspects of Evocation,,Unknown,,Aspects of Evocation,132,,67.0,
"Once evoked, a spirit would then be questioned bout its nature, qualities, and how we could improve upon the evocation- environment.",,Aspects of Evocation,,Unknown,,Aspects of Evocation,132,,67.0,
"As divine players in this world, the gods are joyous, graceful and spontaneous beings, taking delight in the universe.",,Aspects of Tantra,,Unknown,,Aspects of Tantra,118,,73.5,
"Tantra is a path of Psychosomatic Alchemy, which starts with the basic premises of sensuality and worship, pleasure, energy and compassion.",,Aspects of Tantra,,Unknown,,Aspects of Tantra,139,,66.75,
"Mystical asceticismthe aim of which is enlightenment through the mortification of the body was, and remains, a strong tradition in India.",,Aspects of Tantra,,Unknown,,Aspects of Tantra,138,,66.5,
"Contained within the grand square are two oppositions, making this configuration either extremely stressful or a tremendous motivator for success.",,"Aspects, dignities, and retrogrades",,Unknown,,"Aspects, dignities, and retrogrades",146,,65.5,
The energy of a retrograde planet is expressed more on an inner level Sometimes the individual has difficulty expressing the energy outwardly.,,"Aspects, dignities, and retrogrades",,Unknown,,"Aspects, dignities, and retrogrades",142,,64.5,
You must adjust your wishes with the wishes of God or the universe or whatever describes a power mightier than your own.,,"Aspects, dignities, and retrogrades",,Unknown,,"Aspects, dignities, and retrogrades",120,,64.0,
"Second, the intensity of sunlight tends to increase production of zooplankton and hence encourages the presence of baitfish.",,Astral Magick,,Unknown,,Astral Magick,124,,61.0,
Fish in deep water are surrounded by water with greater pressure than the atmosphere so they are essentially unaffected by barometric changes.,,Astral Magick,,Unknown,,Astral Magick,142,,60.5,
An electronic version (incorporating many factors) is available from Speedtech.com (the Anglers Edge Plus Fishing Predictor) for $95.00.,,Astral Magick,,Unknown,,Astral Magick,136,,60.0,
"Some of these classes rank considerably below humanity, some are our equals, and others again rise far above us in goodness and power.",,"Astral Plane - Its Scenery, Inhabitants, And Phenomenon",,Unknown,,"Astral Plane - Its Scenery, Inhabitants, And Phenomenon",134,,67.5,
"but those that we are considering, having much more intelligence and power, and a much longer existence, are proportionately more dangerous.",,"Astral Plane - Its Scenery, Inhabitants, And Phenomenon",,Unknown,,"Astral Plane - Its Scenery, Inhabitants, And Phenomenon",140,,67.0,
"The life-periods of the different subdivisions vary greatly, some being quite short, others much longer than our human lifetime.",,"Astral Plane - Its Scenery, Inhabitants, And Phenomenon",,Unknown,,"Astral Plane - Its Scenery, Inhabitants, And Phenomenon",128,,66.0,
"In other words, buddhi is when our mind is clean and pure and reflects in the light of the divine essence that underlies all of creation.",,Astral Projection Class,,Unknown,,Astral Projection Class,137,,72.25,
"Retrograde Jupiter in second house, which is also below the Horizon, suggesting wealth and abundance of my inner psychological life.",,Astral Projection Class,,Unknown,,Astral Projection Class,132,,69.0,
"Being open to things is much more important than anything else, especially in this business of altered states of consciousness.",,Astral Projection Class,,Unknown,,Astral Projection Class,127,,67.75,
"To do this, one recalls memories of the target, and project into a specified space (triangle, crystal etc) the emotions that those memories trigger.",,Astral Simulacra,,Unknown,,Astral Simulacra,148,,53.0,
Astral Simulacra by Phil Hine There follows a simple technique which is quite useful in distant healing.,,Astral Simulacra,,Unknown,,Astral Simulacra,104,,52.0,
"Whilst it is fairly common for magicians to visualize the person or target being enchanted, I have found that building up an ""Astral Simulacra"" of the target enhances a working.",,Astral Simulacra,,Unknown,,Astral Simulacra,177,,51.75,
"Sextile or Trine a sense of honor and pride, optimism, high level of physical and intellectual energy, and strong powers of procreation.",,Astrocourse,,Unknown,,Astrocourse,136,,72.0,
Astrology and Life Energy Astrological trends are the result of life energy in interaction with the planetary positions in the Solar system.,,Astrocourse,,Unknown,,Astrocourse,140,,69.0,
"In this technique of Astro Dynamic Manifestation, you can set the desired astrological trend and power such settings with life force.",,Astrocourse,,Unknown,,Astrocourse,133,,67.25,
"The Planets are said to be friends, when they agree in one nature and quality, as Mars and the Sun, because both their natures is hot and dry;",,Astrological Geomancy,,Unknown,,Astrological Geomancy,142,,60.5,
"And if an evil Planet be with the Lord of the ﬁrst, and a good Planet in the ﬁrst, IF he goeth he shall suﬀer great damage, but not death;",,Astrological Geomancy,,Unknown,,Astrological Geomancy,138,,60.5,
"If you would be informed concerning any one being that is gone to any ﬁght, whether he shall return safe, see the Lord of the Ascendent;",,Astrological Geomancy,,Unknown,,Astrological Geomancy,136,,60.0,
"So that faculty, function and instrument are in the relations of spirit, soul, and body, and are mutually interdependent.",,Astrology and Marriage,,Unknown,,Astrology and Marriage,121,,66.25,
His constitutional nature is determined by the conditions surrounding him at the moment when he becomes a separate unit of life.,,Astrology and Marriage,,Unknown,,Astrology and Marriage,128,,66.0,
"When both these testimonies are present, marriage can be looked forward to as the continuous fulfilment of the promise of life.",,Astrology and Marriage,,Unknown,,Astrology and Marriage,127,,63.75,
"Pour opérer de manière plus efficace, l’organisation révolutionnaire devrait adopter une nature plus organique en période de révolution.",,Au-delà de la résistance. Manifeste révolutionnaire,,Unknown,,Au-delà de la résistance. Manifeste révolutionnaire,136,,64.0,
"Les syndicats acceptèrent en général cela, abandonnant les négociations des conditions de travail en échange de l’augmentation des salaires.",,Au-delà de la résistance. Manifeste révolutionnaire,,Unknown,,Au-delà de la résistance. Manifeste révolutionnaire,140,,61.0,
"Pour finir, la crise de la pensée humaniste et la confusion générale favorisent les essais de réintroduction d’un ordre moral réactionnaire.",,Au-delà de la résistance. Manifeste révolutionnaire,,Unknown,,Au-delà de la résistance. Manifeste révolutionnaire,140,,61.0,
"This heat, glowing above our vessel, must urge it to the motion of a perfect generation, temperately but continuously, without intermission.",,Aurora of the philosophers,,Unknown,,Aurora of the philosophers,140,,71.0,
"Nature herself has within herself the proper separator, who again joins together what he has put asunder, without the aid of man.",,Aurora of the philosophers,,Unknown,,Aurora of the philosophers,129,,70.25,
"This operation is esteemed by the Magi as a mixture and conjunction by the uniting of three constituents, body, soul, and spirit.",,Aurora of the philosophers,,Unknown,,Aurora of the philosophers,129,,68.25,
"The excited electrons can then return to their initial, lower energy state, and in the process release photons (light particles).",,Aurora,,Unknown,,Aurora,129,,66.25,
"The terrestrial magnetic shield acts as a barrier, protecting the Earth from energetic particles and radiation in the hot solar wind.",,Aurora,,Unknown,,Aurora,133,,59.25,
Energy from an atom or molecule excited by fast electrons is re- leased as different colors of light.,,Aurora,,Unknown,,Aurora,101,,59.25,
"that the nature of the Angel or Spirit will be expanded through the evocation, and its abundance of delight in existence magnified;",,Aurum Solis,,Unknown,,Aurum Solis,131,,70.75,
"and a lone devotee, enscorcelled, staff broken and magick set at naught, casts himself, powerless, into the dark pull of her being.",,Aurum Solis,,Unknown,,Aurum Solis,131,,68.75,
"and a lone devotee, ensorcelled, staff broken and magick set at naught, casts himself, powerless, into the dark gulf of her being.",,Aurum Solis,,Unknown,,Aurum Solis,130,,68.5,
"The laws for which Maat is the _expression govern both aspects of mind (Consciousness/Will), as well as aspects of matter (Energy/Matter).",,Ausar-Auset Society - Tree of Life,,Unknown,,Ausar-Auset Society - Tree of Life,138,,78.5,
"Strictly speaking, however, spirit is energy, and thus distinct from Consciousness/Will (hence Mind) which may in various senses manipulate spirit.",,Ausar-Auset Society - Tree of Life,,Unknown,,Ausar-Auset Society - Tree of Life,147,,77.25,
"Both, together ­­ quiescent mind, and quiescent matter (energy, really) ­­ constitute the Kamitic concept of the Creator before creation.",,Ausar-Auset Society - Tree of Life,,Unknown,,Ausar-Auset Society - Tree of Life,137,,72.25,
Franklin's signature] INTRODUCTION We Americans devour eagerly any piece of writing that purports to tell us the secret of success in life;,,Autobiography of Benjamin Franklin Ebook,,Unknown,,Autobiography of Benjamin Franklin Ebook,139,,68.75,
so that I thought this method preferable to the punishment inflicted by some military laws for non-attendance on divine service.,,Autobiography of Benjamin Franklin Ebook,,Unknown,,Autobiography of Benjamin Franklin Ebook,128,,68.0,
"If there's a power above us (And that there is, all nature cries aloud Thro' all her works), He must delight in virtue;",,Autobiography of Benjamin Franklin Ebook,,Unknown,,Autobiography of Benjamin Franklin Ebook,119,,67.75,
"This has nothing to do with willpower, because successful autosuggestion takes place without the exertion of the will and its consequent interference.",,Autogenic Training,,Unknown,,Autogenic Training,150,,66.5,
"LEARN HOW TO CANCEL You are well aware of the fact that ideas, thoughts, and resolutions, have the tendency to materialize.",,Autogenic Training,,Unknown,,Autogenic Training,123,,62.75,
"BREATHING PRACTICE Even with just one or two sessions of the heaviness practice, usually your breathing becomes much calmer and more regular.",,Autogenic Training,,Unknown,,Autogenic Training,141,,62.75,
"Then Tiberius the emperor, when he heard the message of Velosianus, rejoiced greatly, and ordered him to come before his face.",,Avenging of the Saviour,,Unknown,,Avenging of the Saviour,126,,61.5,
"And immediately he ordered some of the Jews to come to his power, and began carefully to ask what had been the acts of Christ.",,Avenging of the Saviour,,Unknown,,Avenging of the Saviour,126,,59.5,
"And the seven years being fulfilled, there was a very sore famine, and for want of bread they began to eat earth.",,Avenging of the Saviour,,Unknown,,Avenging of the Saviour,113,,58.25,
"The order sprung up in various sections of the country, and treason flourished well, as poisonous plants often show the greatest vitality.",,Ayer - The Great North-Western Conspiracy in All Its Startling Details (1865),,Unknown,,Ayer - The Great North-Western Conspiracy in All Its Startling Details (1865),138,,64.5,
"In the consideration of this case, you must bring to your aid a power, that may be a little more than is ordinarily given to human nature.",,Ayer - The Great North-Western Conspiracy in All Its Startling Details (1865),,Unknown,,Ayer - The Great North-Western Conspiracy in All Its Startling Details (1865),138,,64.5,
"Marsh was put through a similar course of training, and being possessed of remarkable dignity, no doubt made an excellent Grand Seignor.",,Ayer - The Great North-Western Conspiracy in All Its Startling Details (1865),,Unknown,,Ayer - The Great North-Western Conspiracy in All Its Startling Details (1865),136,,64.0,
"for my spirit the Lord shah receive, because thou sheddest innocent blood in the fore-court of the temple of the Lord.",,BOOK OF JAMES - protevangelion,,Unknown,,BOOK OF JAMES - protevangelion,118,,59.5,
"And immediately the cloud withdrew itself out of the cave, and a great light appeared in the cave so that our eyes could not endure it.",,BOOK OF JAMES - protevangelion,,Unknown,,BOOK OF JAMES - protevangelion,135,,57.75,
"It is because I behold two peoples with mine eyes, the one weeping and lamenting and the other rejoicing and exulting.",,BOOK OF JAMES - protevangelion,,Unknown,,BOOK OF JAMES - protevangelion,118,,57.5,
"7 “Face-to-Face” is the condition whereby Small Face (Ze’ir Anafim) is turned toward Vast Face (Arikh Anafim), so no Creation is manifest.",,BOOK OF THAT WHICH IS CONCEALED,,Unknown,,BOOK OF THAT WHICH IS CONCEALED,138,,66.5,
"44 Proverbs 7:4, “Say unto Wisdom (Sefirah Wisdom/East), you are my sister, and call Understanding (Sefirah Understanding/North) friend.",,BOOK OF THAT WHICH IS CONCEALED,,Unknown,,BOOK OF THAT WHICH IS CONCEALED,136,,66.0,
"29 The ‘seventh above them’ is the seventh millennium of the Small Face Universe, spent in the Great Sabbath by Jews, Christians, and Muslims.",,BOOK OF THAT WHICH IS CONCEALED,,Unknown,,BOOK OF THAT WHICH IS CONCEALED,142,,64.5,
"The first commandment is the first wisdom, reverence of the Lord.1 It is written, reverence of the Lord is the first knowledge.",,BOOK OF THE GREAT REZIAL,,Unknown,,BOOK OF THE GREAT REZIAL,127,,67.75,
"In the lowest dwelling, Isaac is sacrificed upon the back of the altar of degrees [Mezabech Shel Ha'aleh], therefore corresponding to Daleth.",,BOOK OF THE GREAT REZIAL,,Unknown,,BOOK OF THE GREAT REZIAL,141,,62.75,
"36 This term usually translates to ""the inward, secret parts."" This usually denotes the secret workings and affections of the soul.",,BOOK OF THE GREAT REZIAL,,Unknown,,BOOK OF THE GREAT REZIAL,131,,62.75,
"64 their gold and silver, nor the command of the thunder, but wisdom and knowledge which constitute the power and happiness of those heavenly beings.",,BUDGE-LegendsOfTheGods,,Unknown,,BUDGE-LegendsOfTheGods,149,,68.75,
"Xenocrates believed in the existence of a series of strong and powerful beings which take pleasure in scourgings and fastings, &c.",,BUDGE-LegendsOfTheGods,,Unknown,,BUDGE-LegendsOfTheGods,130,,66.5,
Whosoever shall recite the above words shall perform the ceremonies which are to be performed when this book is being read.,,BUDGE-LegendsOfTheGods,,Unknown,,BUDGE-LegendsOfTheGods,123,,64.75,
"All funds paid by subordinate lodges, subsidiary bodies, or Associate Companions to the Order shall be paid directly to the Grand Assembly.",,BYLAWS,,Unknown,,BYLAWS,139,,66.75,
Any member who fails to pay membership dues and fees within one year of their due date shall be considered to have left the Order without demission.,,BYLAWS,,Unknown,,BYLAWS,148,,65.0,
"If the Grand Assembly at this meeting votes to sustain the suspension, the suspended bylaws or amendments shall be null and void.",,BYLAWS,,Unknown,,BYLAWS,129,,64.25,
"The Adept Dirigent, Adept Adjuvant and Secretary of a subordinate lodge shall constitute the Executive Committee of that subordinate lodge.",,BYREV,,Unknown,,BYREV,139,,62.75,
"The President of the Grand Assembly shall have the power to issue a waiver of these limits under exceptional circumstances."" 14.",,BYREV,,Unknown,,BYREV,128,,62.0,
"...fails to pay membership dues and fees due the Order within six..."" A new sentence shall be added between the fiftgh and sixth sentences of this section, to read:",,BYREV,,Unknown,,BYREV,164,,56.0,
" Chilufei otiot (letter exchanges) - The regular Hebrew alphabet contains twenty-two ordered letters, and is called the alef beit.",,Baal ha-Turim - excerpts,,Unknown,,Baal ha-Turim - excerpts,131,,64.75,
"Over all his brothers he dwelt (25:18) This is juxtaposed with ve'eleh toldot Yitzchak, And these are the offspring of Yitzchak (25:19).",,Baal ha-Turim - excerpts,,Unknown,,Baal ha-Turim - excerpts,136,,62.0,
"[and Betuel begot Rivkah] (22:20-23), and then [the verse speaks of Sarah's passing.] Sarah's lifetime was one hundred years...",,Baal ha-Turim - excerpts,,Unknown,,Baal ha-Turim - excerpts,127,,61.75,
"More, through hard work the individual has opened him- or herself to the forces of Becoming within the body-soul complex.",,Balanones Temple of Set FAQ,,Unknown,,Balanones Temple of Set FAQ,121,,64.25,
"If you mean ""Can someone believe in the Prince of Darkness as Set without being a member of the Temple?"" Then yes, they can.",,Balanones Temple of Set FAQ,,Unknown,,Balanones Temple of Set FAQ,124,,63.0,
"In fact, due to the highly private and individualistic nature of most Setians this is our prefered means of communication.",,Balanones Temple of Set FAQ,,Unknown,,Balanones Temple of Set FAQ,122,,62.5,
"Wouldn't that be the case if Set is Perfected consciousness, all other beings whose consciousness is different be by definition imperfect?",,Balanones Temple of Set REF,,Unknown,,Balanones Temple of Set REF,138,,70.5,
"The first is psychecentric consciousness, or affirmation of individual existence - a refinement of ""I think, therefore I am"" if you will.",,Balanones Temple of Set REF,,Unknown,,Balanones Temple of Set REF,137,,66.25,
"Within the Temple of Set I'm a member of the Order of Shuti, named after and inspired by the twin lion gods Shu and Tefnut, balance personified.",,Balanones Temple of Set REF,,Unknown,,Balanones Temple of Set REF,144,,66.0,
"The objective is to activate their ""third eye chakra"" thereby raising their energy and attention to a higher vibration, In essence...",,Banishing the Slave Gods,,Unknown,,Banishing the Slave Gods,133,,65.25,
"Please keep in mind though, that some preliminary grounding with the basics of magical discipline are essential.",,Banishing the Slave Gods,,Unknown,,Banishing the Slave Gods,112,,60.0,
"imagine the focused force of that energy opening and shining out, projecting the pentagram as analogous to a laser projecting an image on a surface.",,Banishing the Slave Gods,,Unknown,,Banishing the Slave Gods,148,,57.0,
"It is clear that through decades of gradualism, the non-mandatory nature of the income tax laws has obviously been obscured.",,Banister - Investigating the Federal Income Tax (former IRS agent exposes the criminal income tax,,Unknown,,Banister - Investigating the Federal Income Tax (former IRS agent exposes the criminal income tax,124,,67.0,
"How Are Laws Are Made, Washington, D.C., United States House of Representatives Document 97-120, 1981 United States General Accounting Office.",,Banister - Investigating the Federal Income Tax (former IRS agent exposes the criminal income tax,,Unknown,,Banister - Investigating the Federal Income Tax (former IRS agent exposes the criminal income tax,142,,66.5,
"nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law;",,Banister - Investigating the Federal Income Tax (former IRS agent exposes the criminal income tax,,Unknown,,Banister - Investigating the Federal Income Tax (former IRS agent exposes the criminal income tax,151,,66.25,
"So let there be ecstasy and darkness,and let there be chaos and laughter, let there be sacrifice and strife, but above all let us enjoy the gifts of life!",,Baphomantis Luciferian - Satanic Mass,,Unknown,,Baphomantis Luciferian - Satanic Mass,154,,63.5,
"(Priest) then say: “Bringer of Enlightenment, I greet you who cause us to seek the forbidden knowledge and find true light in darkness",,Baphomantis Luciferian - Satanic Mass,,Unknown,,Baphomantis Luciferian - Satanic Mass,134,,62.5,
"After take up the chalice, with it in your hand, construct in the air, an Inverted Pentagram,while saying: “Veni, Omnipotens Aeternae Diabolus!",,Baphomantis Luciferian - Satanic Mass,,Unknown,,Baphomantis Luciferian - Satanic Mass,143,,58.25,
"So let there be ecstasy and darkness,and let there be chaos and laughter, let there be sacrifice and strife, but above all let us enjoy the gifts of life!",,Baphomantis Luciferian-Satanic Mass,,Unknown,,Baphomantis_Luciferian-Satanic_Mass,154,,63.5,
"(Priest) then say: “Bringer of Enlightenment, I greet you who cause us to seek the forbidden knowledge and find true light in darkness",,Baphomantis Luciferian-Satanic Mass,,Unknown,,Baphomantis_Luciferian-Satanic_Mass,134,,62.5,
"After take up the chalice, with it in your hand, construct in the air, an Inverted Pentagram,while saying: “Veni, Omnipotens Aeternae Diabolus!",,Baphomantis Luciferian-Satanic Mass,,Unknown,,Baphomantis_Luciferian-Satanic_Mass,143,,58.25,
"To some extent the Templars revived part of this cult, but without any r eal esoteric understanding and for their own purposes.",,Baphomet (english),,Unknown,,Baphomet (english),127,,61.75,
"In all probability, they derive from the 12th or 13 th century, although it is quite possible that earlier versions/forms existed.",,Baphomet (english),,Unknown,,Baphomet (english),130,,60.5,
"Traditionally, this type goes back to Albion, and while originally the r itual was probably a community affair, it became more secretive.",,Baphomet (english),,Unknown,,Baphomet (english),137,,60.25,
The primary motivation for undertaking evocation is the exploration of the universe and the expansion of the magician's consciousness.,,Bardon - Introductory Material,,Unknown,,Bardon - Introductory Material,134,,67.5,
"Another key to genuine evocation is the magical ability to work consciously within all three realms (mental, astral and physical) simultaneously.",,Bardon - Introductory Material,,Unknown,,Bardon - Introductory Material,145,,65.75,
Bardon teaches that each aspect of the ritual regalia must be personalized and empowered according to the magician's own understanding and needs.,,Bardon - Introductory Material,,Unknown,,Bardon - Introductory Material,145,,63.75,
The cipher alphabet This cypher alphabet was used by Franz Bardon to communicate spirit names to his students and friends.,,Bardon Cipher Alphabet,,Unknown,,Bardon Cipher Alphabet,122,,58.5,
"Also, the Hermetic brotherhoods and orders that teach the true Hermetic knowledge will class such a person with the philosophical practitioners.",,Bardon Golden Book of Wisdom,,Unknown,,Bardon Golden Book of Wisdom,144,,68.0,
The power of feeling (or perception) depends upon the level of development of the human being concerned and is of decisive importance.,,Bardon Golden Book of Wisdom,,Unknown,,Bardon Golden Book of Wisdom,134,,67.5,
"However, in the innermost of his spirit and his entire being he will profess the universal religion, by which the universal lawfulness is to be understood.",,Bardon Golden Book of Wisdom,,Unknown,,Bardon Golden Book of Wisdom,155,,65.25,
"absolute mastery of the consciousness of spiritual beings, human beings and animals is achieved by the help of this letter formula.",,Bardon Key to the True Qabala,,Unknown,,Bardon Key to the True Qabala,131,,72.75,
"F everything that refers to the unification of the basic qualities of the spirit, i.e., will-power, intellect and feeling, as ego-consciousness.",,Bardon Key to the True Qabala,,Unknown,,Bardon Key to the True Qabala,144,,72.0,
"Above all, it strengthens the will, increases will-power and intelligence, and especially enhances empathy in one's consciousness.",,Bardon Key to the True Qabala,,Unknown,,Bardon Key to the True Qabala,130,,70.5,
"Chamberlain made similar revelations in an article in Life while the Congressional Pearl Harbor investigation was still in progress, yet Mr.",,Barnes - Pearl Harbor After a Quarter of a Century (1980),,Unknown,,Barnes - Pearl Harbor After a Quarter of a Century (1980),140,,65.0,
"After reading it, Roosevelt acknowledged that it meant war but he took no steps to order any warning sent to Pearl Harbor.",,Barnes - Pearl Harbor After a Quarter of a Century (1980),,Unknown,,Barnes - Pearl Harbor After a Quarter of a Century (1980),122,,64.5,
"In other words, General Short was as much victimized as Admiral Kimmel in being deprived of these vitally important Bomb Plot messages.",,Barnes - Pearl Harbor After a Quarter of a Century (1980),,Unknown,,Barnes - Pearl Harbor After a Quarter of a Century (1980),135,,63.75,
"He argued that if God is truth, justice and infinite life then humanity must be ""falsehood, gross injustice and death"".",,Basic Bakunin,,Unknown,,Basic Bakunin,119,,69.75,
"the 'mode of production'), Bakunin allowed much more for the active inter- vention of human beings in the realization of their destiny.",,Basic Bakunin,,Unknown,,Basic Bakunin,135,,67.75,
"Bakunin argues that such aspects are only a disguise, and that when threatened, all states reveal their essentially violent natures.",,Basic Bakunin,,Unknown,,Basic Bakunin,132,,65.0,
"Since nature’s striking wisdom exceeds by far human- kind’s ability, it is impossible to predict and design future organisms without feedback.",,Basic Concepts in Kabbalah (1),,Unknown,,Basic Concepts in Kabbalah (1),142,,74.5,
"While studying nature and the universe, we discover that all that surrounds us exists and functions according to precise and purposeful laws.",,Basic Concepts in Kabbalah (1),,Unknown,,Basic Concepts in Kabbalah (1),141,,72.75,
"No scientific theory answers how the spiritual governs matter from within, and where or what mediates between the body and the soul.",,Basic Concepts in Kabbalah (1),,Unknown,,Basic Concepts in Kabbalah (1),132,,71.0,
"Since nature’s striking wisdom exceeds by far human- kind’s ability, it is impossible to predict and design future organisms without feedback.",,Basic Concepts in Kabbalah,,Unknown,,Basic Concepts in Kabbalah,142,,74.5,
"While studying nature and the universe, we discover that all that surrounds us exists and functions according to precise and purposeful laws.",,Basic Concepts in Kabbalah,,Unknown,,Basic Concepts in Kabbalah,141,,72.75,
"No scientific theory answers how the spiritual governs matter from within, and where or what mediates between the body and the soul.",,Basic Concepts in Kabbalah,,Unknown,,Basic Concepts in Kabbalah,132,,71.0,
"Highlight the difference between elemental power, psychic power, and divine power - and the similarities.",,Basic Technologies of Witchcraft,,Unknown,,Basic Technologies of Witchcraft,105,,64.25,
"Explain that widdershins is often mistaken for evil, but show that the difference is more accurately raising or bannishing power.",,Basic Technologies of Witchcraft,,Unknown,,Basic Technologies of Witchcraft,129,,64.25,
"The Wiccan Rede ""An it harm none, do what thou will."" Stress both the libertine and the disciplinarian interpretations of that law.",,Basic Technologies of Witchcraft,,Unknown,,Basic Technologies of Witchcraft,131,,62.75,
"This spirit is the life and soul that dwell in the earth, and are nourished by heavenly and sidereal influences.",,Basilius-TwelveKeys,,Unknown,,Basilius-TwelveKeys,112,,68.0,
"Thus their quickening cooperation takes the form of putrefaction, without which there can be neither generation, life, nor growth.",,Basilius-TwelveKeys,,Unknown,,Basilius-TwelveKeys,130,,66.5,
"The minerals are hidden in the womb of the earth, and nourished by her with the spirit which she receives from above.",,Basilius-TwelveKeys,,Unknown,,Basilius-TwelveKeys,117,,65.25,
"The charged particles in our potential source are in a constant, seething, equilibrium exchange of trapped EM energy with the entire universe.",,Bearden - Final Secret of Free Energy (1993),,Science,,Bearden - Final Secret of Free Energy (1993),142,,70.5,
"Time-reversed energy stuff"", which should stay in the atomic nucleus as Newtonian 3rd law reactions and 3rd-law energy exchanges, is dragged out.",,Bearden - Final Secret of Free Energy (1993),,Science,,Bearden - Final Secret of Free Energy (1993),145,,69.75,
"If it's flawed, then -- being a model -- some of its primary assumptions (postulates) and/or fundamental definitions must be in error.",,Bearden - Final Secret of Free Energy (1993),,Science,,Bearden - Final Secret of Free Energy (1993),134,,69.5,
"It appeared to be ugly, darkly streaked with the results of pains given and received, failed thoughts and actions, distorted concepts.",,Beast and the Star,,Unknown,,Beast and the Star,134,,67.5,
"The darkness became enlightened with an amazing light that seemed to be all colors simultaneously, but with each color still individually identifiable.",,Beast and the Star,,Unknown,,Beast and the Star,151,,66.25,
"It is wild, uncontrollable from within, absorbing every fleck and mote of consciousness into its own schemes.",,Beast and the Star,,Unknown,,Beast and the Star,109,,63.25,
"Whereas these people may develop their magical powers apart from the natural order, they will never fully enter into Selfhood.",,Become Evil and Rule the World1,,Unknown,,Become Evil and Rule the World1,126,,65.5,
"Finally, when your memory/knowledge becomes accepted as an authority, you can manipulate the past for your own best interests.",,Become Evil and Rule the World1,,Unknown,,Become Evil and Rule the World1,126,,63.5,
"Whereas Xeper often reveals its presence through beneficial synchronicity, we are still constrained by the natural order.",,Become Evil and Rule the World1,,Unknown,,Become Evil and Rule the World1,121,,62.25,
A world in which quantity has replaced quality and advertising has replaced thought is antithetical to coming-into -being.,,Become Evil and Rule the World2,,Unknown,,Become Evil and Rule the World2,122,,64.5,
"Uncle Setnakt tips his horns to liberating feminists, Anne Rice and Kathy Acker.) Satanism centered on the freedom of desire and thought.",,Become Evil and Rule the World2,,Unknown,,Become Evil and Rule the World2,137,,64.25,
"Just as our feminist sisters are beginning to achieve freedom of their bodies, we are achieving freedom of our whole being.",,Become Evil and Rule the World2,,Unknown,,Become Evil and Rule the World2,123,,62.75,
"Similarly, when the powerful wisdom that understands the nature of the mind arises, the dark clouds of ego disappear.",,Becoming Your Own Therapist,,Unknown,,Becoming Your Own Therapist,117,,75.25,
"How can you possibly feel even equanimity for all beings while the ignorant, dualistic mind is functioning so strongly within you?",,Becoming Your Own Therapist,,Unknown,,Becoming Your Own Therapist,130,,72.5,
"Lord Buddha wants all sentient beings to become enlightened right away, but our negative karma is too strong, so we remain uncontrolled.",,Becoming Your Own Therapist,,Unknown,,Becoming Your Own Therapist,136,,70.0,
"The Dark Gods and Goddesses, far from being completely separate entities, are inte rdependent participants in the eternal dance of life.",,Becoming,,Unknown,,Becoming,136,,78.0,
"The sinister pathway is spiritual, diabolically divine, when it breaks the ego and opens the Self (Soul) to the wider Abyss.",,Becoming,,Unknown,,Becoming,124,,71.0,
"They need reminding of their own mortality - of the unforeseen, inexplicable ""powers of Fate"", of the powerful force of ""Nature"".",,Becoming,,Unknown,,Becoming,129,,70.25,
"Death and the grave exists a challenge and significance within the Shadow Sabbatic Path, being of two primary points.",,Beholders of Night,,Unknown,,Beholders of Night,117,,67.25,
"In the ancient witchcraft religion (Yatuk), Persian Sorcerers used blood of wolves[10] (who are sacred to Ahriman) to call upon darkness.",,Beholders of Night,,Unknown,,Beholders of Night,137,,66.25,
"What should be understood as a universal approach to Witchcraft, shall the answer lie between the shadow and light, the essence between.",,Beholders of Night,,Unknown,,Beholders of Night,136,,66.0,
"The consciousness of the Absolute-wala2 is really extended infinitely rather than diminished infinitely, as he will himself assure you.",,Berashith an Essay in Ontology (1),,Unknown,,Berashith an Essay in Ontology (1),135,,65.75,
"By act, word, and thought, both in quantity and quality, the one object of the ceremony is being constantly indicated.",,Berashith an Essay in Ontology (1),,Unknown,,Berashith an Essay in Ontology (1),118,,65.5,
"It may be observed that this law is nearly if not quite axiomatic, its contrary being enormously difficult if not impossible to formulate mentally.",,Berashith an Essay in Ontology (1),,Unknown,,Berashith an Essay in Ontology (1),147,,63.25,
"The consciousness of the Absolute-wala2 is really extended infinitely rather than diminished infinitely, as he will himself assure you.",,Berashith an Essay in Ontology,,Unknown,,Berashith an Essay in Ontology,135,,65.75,
"By act, word, and thought, both in quantity and quality, the one object of the ceremony is being constantly indicated.",,Berashith an Essay in Ontology,,Unknown,,Berashith an Essay in Ontology,118,,65.5,
