New_ID,Title,Title_Display,Alternate Title,Author,Year,Century,Category,Subcategory,Tradition,Keywords,Difficulty,Language,Public Domain,Short Description,Long Description,PDF_File_Name,PDF_Drive_Link,Cover_Image,OCR_Status,AI_Ready,Quote_1,Quote_2,Quote_3,Quote_Page,Featured,Daily_Wisdom_Eligible,Quest_Eligible,Notes,Preview_PDF_Drive_Link,Preview_Ready,Preview_Page_Count
FL_0582,SS197809,Ss197809,,,,,,,,,,,,,,SS197809.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnSWxZUkJKU055dUU/view?usp=drivesdk&resourcekey=0-v7SKDEbWARlhae_ESfEf4g,,,,,,,,,,,,https://drive.google.com/file/d/1EL868yIdk5jQAysSkubNvfouxNr6iFuU/view?usp=sharing,True,10.0
FL_0583,SS197808,Ss197808,,,,,,,,,,,,,,SS197808.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnUUhYMTQtVG5TRU0/view?usp=drivesdk&resourcekey=0-_Rc8L8DKry7StU0ftQBIbg,,,,,,,,,,,,https://drive.google.com/file/d/1CEa1EkQiu2fy2YYlKoqmmETxFpyn5reN/view?usp=sharing,True,10.0
FL_0584,SS197807,Ss197807,,,,,,,,,,,,,,SS197807.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnaXFCMUNza0dFclE/view?usp=drivesdk&resourcekey=0-jBaTWOBLXx38ypKZOFTWVQ,,,,,,,,,,,,https://drive.google.com/file/d/1aFWnexQhjWgjM6vFdtEg91VbjOsxQQUd/view?usp=sharing,True,10.0
FL_0585,SS197806,Ss197806,,,,,,,,,,,,,,SS197806.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnZENRWFFXNUN0NEE/view?usp=drivesdk&resourcekey=0-rAZg36GdvX3ucgkuWRBZfQ,,,,,,,,,,,,https://drive.google.com/file/d/1SvF4aic6hcAcJYtv9MwVSKb-atNe_g-U/view?usp=sharing,True,10.0
FL_0586,SS197804,Ss197804,,,,,,,,,,,,,,SS197804.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mneWdUWFdTQU82YUE/view?usp=drivesdk&resourcekey=0-74mlAO7W9p-v_qW_NahOWw,,,,,,,,,,,,https://drive.google.com/file/d/1WKTiTjNaHL9Rbwwtaeb51kcWFGwJiicz/view?usp=sharing,True,10.0
FL_0587,SS197803,Ss197803,,,,,,,,,,,,,,SS197803.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnQ2E0Zkp6M3Axb0k/view?usp=drivesdk&resourcekey=0-zbNdPTElE_up_2SBWSKfPw,,,,,,,,,,,,https://drive.google.com/file/d/1YLdfIFrUKgKl2jwHHlZXYRJB_XqhSAfY/view?usp=sharing,True,10.0
FL_0588,SS197802,Ss197802,,,,,,,,,,,,,,SS197802.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnQklTdzg4RFBuTlU/view?usp=drivesdk&resourcekey=0-dEMU15f8NF0f2h6L4EHU8Q,,,,,,,,,,,,https://drive.google.com/file/d/1NhLfScPG5bBhLIlpkGF_dOFZuSmJdz9Z/view?usp=sharing,True,10.0
FL_0589,SS197801,Ss197801,,,,,,,,,,,,,,SS197801.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnb2wzcjZnMDgwUVE/view?usp=drivesdk&resourcekey=0-c01crWkC9-OXrKLAy3Euug,,,,,,,,,,,,https://drive.google.com/file/d/1NdCuZ4EliGclgULe_Lm6Hd9pDv1-nLOC/view?usp=sharing,True,10.0
FL_0590,SS197712,Ss197712,,,,,,,,,,,,,,SS197712.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnOUxvM1pIelFiZlU/view?usp=drivesdk&resourcekey=0-wDhPhqqvZ1nYUsITti8u1A,,,,,,,,,,,,https://drive.google.com/file/d/1CwDSn6yyxcSVnb2yF_sdkkh9n7ajJrp5/view?usp=sharing,True,10.0
FL_0591,SS197711,Ss197711,,,,,,,,,,,,,,SS197711.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnMEt0bHR6SWpIYnM/view?usp=drivesdk&resourcekey=0-RfEPtQtEJUxsgV337UibPw,,,,,,,,,,,,https://drive.google.com/file/d/1r4AuvxHm_lnPDWN3bSmU16htRU5_aNvN/view?usp=sharing,True,10.0
FL_0592,SS197710,Ss197710,,,,,,,,,,,,,,SS197710.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mncF9iREw2cW5GOFU/view?usp=drivesdk&resourcekey=0-cdgGZ55c6c78xMIj2HSZPQ,,,,,,,,,,,,https://drive.google.com/file/d/10n6BYtUwYoad6uDb3SOlSrs1oHQz683D/view?usp=sharing,True,10.0
FL_0593,SS197709,Ss197709,,,,,,,,,,,,,,SS197709.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnazFENW5sSDlRLTA/view?usp=drivesdk&resourcekey=0-o7qjuTrhnolmIrbn9S_jBQ,,,,,,,,,,,,https://drive.google.com/file/d/1FvG1CmDLI-U7TLPAJjVXKe4ct4sZDOfD/view?usp=sharing,True,10.0
FL_0594,SS197708,Ss197708,,,,,,,,,,,,,,SS197708.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnU0laZGtNSDhDcXc/view?usp=drivesdk&resourcekey=0-a-wyKR61XUVXrjHFuHNpJg,,,,,,,,,,,,https://drive.google.com/file/d/1GJjxA08EEjoLRgYzX5wznSyNxR8y-AO-/view?usp=sharing,True,10.0
FL_0595,SS197707,Ss197707,,,,,,,,,,,,,,SS197707.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnQTBjVlFHMjZSV1k/view?usp=drivesdk&resourcekey=0-v4UlrvxP3PMXUfZAul2ziQ,,,,,,,,,,,,https://drive.google.com/file/d/1gz1z_Ahy9QXfBJiZkAcnwZNRYgqu4y7T/view?usp=sharing,True,10.0
FL_0596,SS197706,Ss197706,,,,,,,,,,,,,,SS197706.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnSDJKSVhtN0RleUE/view?usp=drivesdk&resourcekey=0-MXd1-Q1re_GpxrkXRrLfvQ,,,,,,,,,,,,https://drive.google.com/file/d/1X_lflVxZ6ojAujlAian8zfM2TvRprKbf/view?usp=sharing,True,10.0
FL_0597,SS197705,Ss197705,,,,,,,,,,,,,,SS197705.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnUTNnLUwzN3QxQjQ/view?usp=drivesdk&resourcekey=0-d5YqBgZVrEiVVpDvN0LCmw,,,,,,,,,,,,https://drive.google.com/file/d/1BJRqpyhnGZTCpHgyLGNW_mzW2pA03bbb/view?usp=sharing,True,10.0
FL_0598,SS197704,Ss197704,,,,,,,,,,,,,,SS197704.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnX0FwQWxFMzU2amc/view?usp=drivesdk&resourcekey=0-RL7rNSf2WbifiZblQqJmqQ,,,,,,,,,,,,https://drive.google.com/file/d/1DNEROnIuNYjSjxpca6vPTXoC9vtKSRDw/view?usp=sharing,True,10.0
FL_0599,SS197703,Ss197703,,,,,,,,,,,,,,SS197703.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnYVhPUkRaYXVnbFU/view?usp=drivesdk&resourcekey=0-vR556cUzMFe76kJQi7Pigw,,,,,,,,,,,,https://drive.google.com/file/d/1Zh05wmHbywyw5nuDmhCxGJK1M1-i9rDS/view?usp=sharing,True,10.0
FL_0600,SS197702,Ss197702,,,,,,,,,,,,,,SS197702.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWnlqTFczUnB1UjQ/view?usp=drivesdk&resourcekey=0-AI-oe6UA0E8ZCCbYqvsKSQ,,,,,,,,,,,,https://drive.google.com/file/d/1jtA02Rxb_1_LC4Ir9xe4XH7VOPdxODd5/view?usp=sharing,True,10.0
FL_0601,SS197701,Ss197701,,,,,,,,,,,,,,SS197701.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnRzJzUnhXTXhMSE0/view?usp=drivesdk&resourcekey=0-cIbrxCKYbUoU-OgkHQ0KYQ,,,,,,,,,,,,https://drive.google.com/file/d/1J7RxeF3OebPBhYmN18HXcU3prALDuWJ3/view?usp=sharing,True,10.0
FL_0602,SS197612,Ss197612,,,,,,,,,,,,,,SS197612.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnZE0yS1B0MDIwX00/view?usp=drivesdk&resourcekey=0-LFPWj5YoTtuPw5IIa2BNoA,,,,,,,,,,,,https://drive.google.com/file/d/1y59ElTvwUdcRik7CZoljsDQ6fn-90dep/view?usp=sharing,True,10.0
FL_0603,SS197611,Ss197611,,,,,,,,,,,,,,SS197611.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnNll2N2J5cFE4Mkk/view?usp=drivesdk&resourcekey=0-GqopRFhVswzF2ZSor1Qmbw,,,,,,,,,,,,https://drive.google.com/file/d/1D4lTnyLw1cg8lcFxvSnWWNWuEv-CWLh_/view?usp=sharing,True,10.0
FL_0604,SS197610,Ss197610,,,,,,,,,,,,,,SS197610.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnQ1BFc1IyZ1N0ZW8/view?usp=drivesdk&resourcekey=0-JlV7IMW56Ut8yKHBiCo7Rg,,,,,,,,,,,,https://drive.google.com/file/d/1Yg5Tk66tkMGk49NFTnXva2ozRYGRZSAI/view?usp=sharing,True,10.0
FL_0605,SS197609,Ss197609,,,,,,,,,,,,,,SS197609.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTEFCaXRzMmVPV3c/view?usp=drivesdk&resourcekey=0-nGNzNaF2m2xxKLggBaufoQ,,,,,,,,,,,,https://drive.google.com/file/d/1n8sea1QSQlUHLvp_KrkjOmqA2KysV-m1/view?usp=sharing,True,10.0
FL_0606,SS197608,Ss197608,,,,,,,,,,,,,,SS197608.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnOXc4QzhueURxaWc/view?usp=drivesdk&resourcekey=0-FHAslE9PZQnFX8ScrsWKqg,,,,,,,,,,,,https://drive.google.com/file/d/1Tdq94H9j9fdB-ff3h0aGfbDNVoiU2Yax/view?usp=sharing,True,10.0
FL_0607,SS197607,Ss197607,,,,,,,,,,,,,,SS197607.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mneTd2dTFjaVFxRm8/view?usp=drivesdk&resourcekey=0-ZvQbPig3Br_MrCt9r9a4qg,,,,,,,,,,,,https://drive.google.com/file/d/1xV4yy67sAwcZnvZ--eQOXfB0AN3eJ41E/view?usp=sharing,True,10.0
FL_0608,SS197606,Ss197606,,,,,,,,,,,,,,SS197606.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnQlJhSWVJaE15T0k/view?usp=drivesdk&resourcekey=0-Pb0qPP1wrnQ9jSk6eZ3E1g,,,,,,,,,,,,https://drive.google.com/file/d/1Bn2zfmYAJuemBdaJabgzFRUaAhF7UYCX/view?usp=sharing,True,10.0
FL_0609,SS197605,Ss197605,,,,,,,,,,,,,,SS197605.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnXzZLbEpiaE1FZEU/view?usp=drivesdk&resourcekey=0-_BQ6kHbFAGpR5FeSIIpILQ,,,,,,,,,,,,https://drive.google.com/file/d/1625KUFwWs6aU_c_dP7x3Ye8exrWyMNqH/view?usp=sharing,True,10.0
FL_0610,SS197604,Ss197604,,,,,,,,,,,,,,SS197604.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnOXNKbUREakFvTEU/view?usp=drivesdk&resourcekey=0-52B2Ep_pgNfnR1MLjXnWnw,,,,,,,,,,,,https://drive.google.com/file/d/1TAbPldrZI6mz_lrZCzGzjT7ReMb36edC/view?usp=sharing,True,10.0
FL_0611,SS197603,Ss197603,,,,,,,,,,,,,,SS197603.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWTUxbWlCb25DSWM/view?usp=drivesdk&resourcekey=0-HDW2jiF8w5zA_4Yl1tOmBA,,,,,,,,,,,,https://drive.google.com/file/d/1O3bz2CbGeygKo5HwkFkR6pDg8-sqfB2b/view?usp=sharing,True,10.0
FL_0612,SS197602,Ss197602,,,,,,,,,,,,,,SS197602.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnUnMycGtaTWlzVFE/view?usp=drivesdk&resourcekey=0-6Vtf_TBzygVYqYXK0bsSTg,,,,,,,,,,,,https://drive.google.com/file/d/1ue1eTBz-6vjQRT9JRsc4B324aABOtY3A/view?usp=sharing,True,10.0
FL_0613,SS197601,Ss197601,,,,,,,,,,,,,,SS197601.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnUGVXT1p5VXBmbU0/view?usp=drivesdk&resourcekey=0-b0u4y7-G0vlVqe8c4rrgJA,,,,,,,,,,,,https://drive.google.com/file/d/1IOz9WhWKjdmsA6MhYmjRSQyBK3jCUeZJ/view?usp=sharing,True,10.0
FL_0614,SS197512,Ss197512,,,,,,,,,,,,,,SS197512.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnQkRGWlJDekFIbEE/view?usp=drivesdk&resourcekey=0-YPYk3qBlA9jOVD-LlM7aLA,,,,,,,,,,,,https://drive.google.com/file/d/19TU4SEajYznwia8BrTZguWxnFBN2OMVK/view?usp=sharing,True,10.0
FL_0615,SS197511,Ss197511,,,,,,,,,,,,,,SS197511.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnU29nczFTZm5mX2c/view?usp=drivesdk&resourcekey=0-BDd2Z6kN_BGmn4N7y_ZJeA,,,,,,,,,,,,https://drive.google.com/file/d/1mFyXzQCISnkJBPuPdFbxeeZLywYH9R53/view?usp=sharing,True,10.0
FL_0616,SS197510,Ss197510,,,,,,,,,,,,,,SS197510.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTk5aMWhHbFFyejQ/view?usp=drivesdk&resourcekey=0-LaZCAsWsGZgB_Feqj6X32w,,,,,,,,,,,,https://drive.google.com/file/d/1bfoGUMTVUu5pFncksLXKb1NbQd54O1sx/view?usp=sharing,True,10.0
FL_0617,SS197509,Ss197509,,,,,,,,,,,,,,SS197509.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnN1MyZXhwclNKMU0/view?usp=drivesdk&resourcekey=0-zGTUVUmgy9kFEM83YXi9GQ,,,,,,,,,,,,https://drive.google.com/file/d/1JwubGCArD_PoZc85Gg1xBA7Abv8jKB3m/view?usp=sharing,True,10.0
FL_0618,09 Archaeous - Lesson,09 Archaeous - Lesson,,,,,,,,,,,,,,09 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnMmxzbGoyQktVZHc/view?usp=drivesdk&resourcekey=0-mBljsmsKUtN1zpqvg1xi_Q,,,,,,,,,,,,https://drive.google.com/file/d/1gqilA6-Db6y567SdzCIWIqN0w_OwKoKu/view?usp=sharing,True,10.0
FL_0619,08 Archaeous - Lesson,08 Archaeous - Lesson,,,,,,,,,,,,,,08 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnSmszX3lJNzVIWnc/view?usp=drivesdk&resourcekey=0-tVlGPcKGUrfUI7wQqID24g,,,,,,,,,,,,https://drive.google.com/file/d/1YKVDKIj0dYUTdUHnbAOcSneOt0kZAFb2/view?usp=sharing,True,10.0
FL_0620,06 Archaeous - Lesson,06 Archaeous - Lesson,,,,,,,,,,,,,,06 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnMmxNaW1MNXhKbWM/view?usp=drivesdk&resourcekey=0-UTOEp_kHz9EWzEZ2n8YROw,,,,,,,,,,,,https://drive.google.com/file/d/1XqBF0yjY_uQznj7FMmZbwhkAszzhf0j_/view?usp=sharing,True,10.0
FL_0621,07 Archaeous - Lesson,07 Archaeous - Lesson,,,,,,,,,,,,,,07 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnRnVvRjN1RHJBMjA/view?usp=drivesdk&resourcekey=0-JltRSYFwM2LERisFcv5GrQ,,,,,,,,,,,,https://drive.google.com/file/d/1h__ZakM2Y1xXGhiqXAohCC0nnS-7KXay/view?usp=sharing,True,10.0
FL_0622,04 Archaeous - Lesson,04 Archaeous - Lesson,,,,,,,,,,,,,,04 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnR21fbWJqTVl0b2M/view?usp=drivesdk&resourcekey=0-oMkRBUHuzuOIJxE85oV7Fw,,,,,,,,,,,,https://drive.google.com/file/d/1Nb25d0XKH6WGsFro4wpDPAqqe4zk_ljI/view?usp=sharing,True,10.0
FL_0623,05 Archaeous - Lesson,05 Archaeous - Lesson,,,,,,,,,,,,,,05 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWWJnTkZSc25kNU0/view?usp=drivesdk&resourcekey=0-Z-Ed7SodzTGWEiT3s8QdEA,,,,,,,,,,,,https://drive.google.com/file/d/1td7UUTQUyVfCcXUvT_rGy00NrQSBSVQe/view?usp=sharing,True,10.0
FL_0624,03 Archaeous - Lesson,03 Archaeous - Lesson,,,,,,,,,,,,,,03 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTXR2VnBSZ09vQTQ/view?usp=drivesdk&resourcekey=0-_DWKTEGXpIDuLuhPLJ82PA,,,,,,,,,,,,https://drive.google.com/file/d/1eh6GA-PDvapcJqXYWDk-e1gUBrwLVxme/view?usp=sharing,True,10.0
FL_0625,02 Archaeous - Lesson,02 Archaeous - Lesson,,,,,,,,,,,,,,02 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnU28xY0RwY1hsOVU/view?usp=drivesdk&resourcekey=0-Qq457U951FpKk1nIPfTIcw,,,,,,,,,,,,https://drive.google.com/file/d/1scSB1NXLW3QgouSvRcINktFXw28PeZTH/view?usp=sharing,True,10.0
FL_0626,01 Archaeous - Lesson,01 Archaeous - Lesson,,,,,,,,,,,,,,01 Archaeous - Lesson.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnZi01RjF4Z0tEbzg/view?usp=drivesdk&resourcekey=0-bYaGxyj3GMCB_cGGiziNjg,,,,,,,,,,,,https://drive.google.com/file/d/1t7r2JRuSkSxfqNJWi_q7CfOLxZYxPHrQ/view?usp=sharing,True,10.0
FL_0627,Sinister Tarot,Sinister Tarot,,,,,,,,,,,,,,Sinister Tarot.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnaEF0YXZOaFR5Q1U/view?usp=drivesdk&resourcekey=0-cwuYlFPJoVcUg4-gVHcgtQ,,,,,,,,,,,,https://drive.google.com/file/d/1c2-gpXIdyKjSgiqGOlipw4bW3JnRl3bq/view?usp=sharing,True,10.0
FL_0628,Simplified Scientific Astrology,Simplified Scientific Astrology,,,,,,,,,,,,,,Simplified Scientific Astrology.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnOWNOeDdibDdPZ3M/view?usp=drivesdk&resourcekey=0-WBL-iyYgXM8tXjYssle-7w,,,,,,,,,,,,https://drive.google.com/file/d/123u8N4oqooFUNn6qtvlOuySvu8qJaafu/view?usp=sharing,True,10.0
FL_0629,Sigalovada Sutta - Illustrated,Sigalovada Sutta - Illustrated,,,,,,,,,,,,,,Sigalovada Sutta - Illustrated.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mndXQwcTBhQWppWWM/view?usp=drivesdk&resourcekey=0-Rdcze8vXQPdWtRo2S-vVlw,,,,,,,,,,,,https://drive.google.com/file/d/1Czuf7ZymQHhbqzrgEPOUrpiWpuV9okEL/view?usp=sharing,True,10.0
FL_0630,Shock & Awe,Shock & Awe,,,,,,,,,,,,,,Shock & Awe.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnZG1rcG9zZFlfLWc/view?usp=drivesdk&resourcekey=0-IaHrAxffzekKfwbZcVGP-w,,,,,,,,,,,,https://drive.google.com/file/d/16I4he4S1llMVvUkqB0vQSnQw2vuXWKcA/view?usp=sharing,True,10.0
FL_0631,Sex Magic Tantra and Tarot,Sex Magic Tantra And Tarot,,,,,,,,,,,,,,Sex Magic Tantra and Tarot.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnYXc0RnJ3a3hvaVU/view?usp=drivesdk&resourcekey=0-OrGFvxuwrJP2AzkaZJ9SkQ,,,,,,,,,,,,https://drive.google.com/file/d/1c-M-479D3hKAQSZQCdY3FBBiRH2r8OC-/view?usp=sharing,True,10.0
FL_0632,Sex For Dummies,Sex For Dummies,,,,,,,,,,,,,,Sex For Dummies.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnNUdmYnV6NzBETWs/view?usp=drivesdk&resourcekey=0-3nF01npKddbU1rbWJXeYtw,,,,,,,,,,,,https://drive.google.com/file/d/1Z3FdR5aEoQ2LEt3m6ixY36Uv_j_WJRPK/view?usp=sharing,True,10.0
FL_0633,Settling back into the moment,Settling Back Into The Moment,,,,,,,,,,,,,,Settling back into the moment.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnc1ZNNmRLZFJhd2c/view?usp=drivesdk&resourcekey=0-i5-d29uCDD0fB0YGOT-bbA,,,,,,,,,,,,https://drive.google.com/file/d/1ay1NezO9TtPn5M_YaKfYsW_QicR5qtPj/view?usp=sharing,True,10.0
FL_0634,Self Initiation into the Golden Dawn Tradition_Part 02,Self Initiation Into The Golden Dawn Tradition Part 02,,,,,,,,,,,,,,Self Initiation into the Golden Dawn Tradition_Part 02.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTF94VEZaU0ltak0/view?usp=drivesdk&resourcekey=0-FDey4GSn9pDQSzgipoPK4A,,,,,,,,,,,,https://drive.google.com/file/d/19OVNKudITcje6_8D2BSN1vFhg7b9SmSQ/view?usp=sharing,True,10.0
FL_0635,Self Initiation into the Golden Dawn Tradition_Part 01,Self Initiation Into The Golden Dawn Tradition Part 01,,,,,,,,,,,,,,Self Initiation into the Golden Dawn Tradition_Part 01.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTzZ1bGVESkVTU0U/view?usp=drivesdk&resourcekey=0-nCz6gw74U_Df90IFC0KDXw,,,,,,,,,,,,https://drive.google.com/file/d/1iJOYyCpR6QsFNm2ptk3u9_Tt5n3QGSX7/view?usp=sharing,True,10.0
FL_0636,Selected Topics in Chart Interpretation,Selected Topics In Chart Interpretation,,,,,,,,,,,,,,Selected Topics in Chart Interpretation.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnQWZXS18zYkRENDQ/view?usp=drivesdk&resourcekey=0-e1VtfNmhKuYuqELbvQus_Q,,,,,,,,,,,,https://drive.google.com/file/d/1aghOExn4ytIqPLT9Wf615V1HSooURK1O/view?usp=sharing,True,10.0
FL_0637,Secret Wisdom of the Qabalah (Password - artephius),Secret Wisdom Of The Qabalah (Password - Artephius),,,,,,,,,,,,,,Secret Wisdom of the Qabalah (Password - artephius).pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnOXJNOHdldVRualk/view?usp=drivesdk&resourcekey=0-CgSzFxDQwGOg8rBAXAb-5g,,,,,,,,,,,,,,
FL_0638,Mike Nichols - 8 Sabbats of Witchcraft,Mike Nichols - 8 Sabbats Of Witchcraft,,,,,,,,,,,,,,Mike Nichols - 8 Sabbats of Witchcraft.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnRE5DR2g0elM1Q28/view?usp=drivesdk&resourcekey=0-cFtRRR00Vdd_CsaJ7eYWDg,,,,,,,,,,,,https://drive.google.com/file/d/1BOoOzTTfGnjmBBRwP2lbyB2-FgX1EYck/view?usp=sharing,True,10.0
FL_0639,Margaret Aice Murray - The Witchcult in Western Europe,Margaret Aice Murray - The Witchcult In Western Europe,,,,,,,,,,,,,,Margaret Aice Murray - The Witchcult in Western Europe.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnVzdqM1ZtRzNyMjQ/view?usp=drivesdk&resourcekey=0-YJ5uu3BUssOVUUOMtNoFyQ,,,,,,,,,,,,https://drive.google.com/file/d/1C8ln8K35nc8O1WhLwAZwOLLzG2YNfmLn/view?usp=sharing,True,10.0
FL_0640,Margaret Aice Murray - The God of the Witches,Margaret Aice Murray - The God Of The Witches,,,,,,,,,,,,,,Margaret Aice Murray - The God of the Witches.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnanlNalBFeU5wRjQ/view?usp=drivesdk&resourcekey=0-iPDF0gNokKxaDnLZ2z2_Cw,,,,,,,,,,,,https://drive.google.com/file/d/1RhBJ8U-RSxjuv34ClFcMaZNmKK2khe8K/view?usp=sharing,True,10.0
FL_0641,Gerald B. Gardner - Witchcraft Today,Gerald B. Gardner - Witchcraft Today,,,,,,,,,,,,,,Gerald B. Gardner - Witchcraft Today.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnaTlqOWpUalJEbnc/view?usp=drivesdk&resourcekey=0-7wugc-m3A1-sV84ALjdSRw,,,,,,,,,,,,https://drive.google.com/file/d/1OVj6CdghWPJTCca7-D0ZDKaZiVugGA3H/view?usp=sharing,True,10.0
FL_0642,Gerald B. Gardner - The Garnerian Book of Shadows,Gerald B. Gardner - The Garnerian Book Of Shadows,,,,,,,,,,,,,,Gerald B. Gardner - The Garnerian Book of Shadows.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnWjFUVlFrSXpHZFU/view?usp=drivesdk&resourcekey=0-LMHhkNj1xaOX6cIVPF5wAQ,,,,,,,,,,,,https://drive.google.com/file/d/1UWWWUNRLPPvFRyi4DuHRjON4DxMzv0gw/view?usp=sharing,True,10.0
FL_0643,"Charles L. Leland - Ariadia, or a Gospel of the Witches (1899)","Charles L. Leland - Ariadia, Or A Gospel Of The Witches (1899)",,,,,,,,,,,,,,"Charles L. Leland - Ariadia, or a Gospel of the Witches (1899).pdf",https://drive.google.com/file/d/0B7BPjB4fO2mnSHcyVDR6ZXppS2M/view?usp=drivesdk&resourcekey=0-IOTKRCmvZs7iVi08QeiYJg,,,,,,,,,,,,https://drive.google.com/file/d/1Xn1da7dMb5us1SiHWi5bYwH4IB3xeISn/view?usp=sharing,True,10.0
FL_0644,Amber K - The Basics of Magick,Amber K - The Basics Of Magick,,,,,,,,,,,,,,Amber K - The Basics of Magick.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnLS14Q0pGOWNNdGM/view?usp=drivesdk&resourcekey=0-NWnZZdGWMXNHQDI9qXsW4g,,,,,,,,,,,,https://drive.google.com/file/d/19FOGjrk7LZWwFlGYEcXPfHO_QDSjWqSV/view?usp=sharing,True,10.0
FL_0645,Alexandrian Book of Shadows,Alexandrian Book Of Shadows,,,,,,,,,,,,,,Alexandrian Book of Shadows.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnM0R5YVNOSERvZUE/view?usp=drivesdk&resourcekey=0-AAIFjbeGxa6liRsfRHpxmA,,,,,,,,,,,,https://drive.google.com/file/d/1N2AKWtFzJEB5FeMYcT5LgmcD6r0BW5tC/view?usp=sharing,True,10.0
FL_0646,D&D Dungeon Master's Guide,D&D Dungeon Master'S Guide,,,,,,,,,,,,,,D&D Dungeon Master's Guide.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnUWx1Wmw2XzRKLTg/view?usp=drivesdk&resourcekey=0-s8pBYhbdfc4xY3iZENN-9g,,,,,,,,,,,,https://drive.google.com/file/d/15yMnqW6uFdBEvoARzlztJPKqSwEV9Pro/view?usp=sharing,True,10.0
FL_0647,D&D Arms & Equipment Guide,D&D Arms & Equipment Guide,,,,,,,,,,,,,,D&D Arms & Equipment Guide.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnc0NWM3RmN0NoRVE/view?usp=drivesdk&resourcekey=0-RwtFCqWQ-BOGYkmjVuodVQ,,,,,,,,,,,,https://drive.google.com/file/d/1Y9TXaXCk2NkvC4Mj0pqycNU5NG80YrNS/view?usp=sharing,True,10.0
